; ;;;;;;;
Название исследования:Потеря устойчивости;;;;;;;;
Режим No.  ;Запас прочности при потере устойчивости  ;Рассчет;;J_y;pi^2;E;L;F
1;0,02;0,02;;4,17E-09;9,86E+00;2,10E+11;5,50E+00;1,40E+04
2;0,08;0,08;;4,17E-09;9,86E+00;2,10E+11;5,50E+00;1,40E+04
3;0,18;0,18;;4,17E-09;9,86E+00;2,10E+11;5,50E+00;1,40E+04
4;0,33;0,33;;4,17E-09;9,86E+00;2,10E+11;5,50E+00;1,40E+04
5;0,51;0,51;;4,17E-09;9,86E+00;2,10E+11;5,50E+00;1,40E+04
;;;;;;;;
