Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0220421987
2	1	0	0.0440843974
3	1	0	0.0661265961
4	1	0	0.0881687947
5	1	0	0.110210993
6	1	0	0.132253192
7	1	0	0.154295391
8	1	0	0.176337589
9	2	0	0.198379788
10	2	0	0.220421987
11	2	0	0.242464186
12	2	0	0.264506384
13	2	0	0.286548583
14	2	0	0.308590782
15	2	0	0.33063298
16	2	0	0.352675179
17	3	0	0.374717378
18	3	0	0.396759576
19	3	0	0.418801775
20	3	0	0.440843974
21	3	0	0.462886172
22	3	0	0.484928371
23	3	0	0.50697057
24	3	0	0.529012768
25	3	0	0.551054967
26	4	0	0.573097166
27	4	0	0.595139364
28	4	0	0.617181563
29	4	0	0.639223762
30	4	0	0.661265961
31	4	0	0.683308159
32	4	0	0.705350358
33	4	0	0.727392557
34	4	0	0.749434755
35	5	0	0.771476954
36	5	0	0.793519153
37	5	0	0.815561351
38	5	0	0.83760355
39	5	0	0.859645749
40	5	0	0.881687947
41	5	0	0.903730146
42	6	0	0.925772345
43	6	0	0.947814543
44	6	0	0.969856742
45	6	0	0.991898941
46	6	0	1.01394114
47	7	0	1.03598334
48	7	0	1.05802554
49	7	0	1.08006774
50	7	0	1.10210993
51	7	0	1.12415213
52	7	0	1.14619433
53	7	0	1.16823653
54	7	0	1.19027873
55	7	0	1.21232093
56	8	0	1.23436313
57	8	0	1.25640533
58	8	0	1.27844752
