Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0220421987	293.2	293.2	293.2	293.2	0	0	0	0	2.84217e-13	0	0	3
2	1	0	0.0440843974	293.2	293.2	293.2	293.2	5.68434189e-14	0	0	0	4.54747e-13	0	0	3
3	1	0	0.0661265961	293.2	293.2	293.2	293.2	1.13686838e-13	0	0	0	5.11591e-13	0	0	3
4	1	0	0.0881687947	293.2	293.2	293.2	293.2	1.13686838e-13	0	0	0	5.68434e-13	0	0	3
5	1	0	0.110210993	293.2	293.2	293.2	293.2	1.13686838e-13	0	0	0	5.11591e-13	0	0	3
6	1	0	0.132253192	293.2	293.2	293.2	293.2	1.70530257e-13	0	0	0	5.68434e-13	0	0	3
7	1	0	0.154295391	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	6.82121e-13	0	0	3
8	1	0	0.176337589	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	7.38964e-13	0	0	3
9	2	0	0.198379788	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	7.38964e-13	0	0	3
10	2	0	0.220421987	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	7.95808e-13	0	0	3
11	2	0	0.242464186	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	8.52651e-13	0	0	3
12	2	0	0.264506384	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	8.52651e-13	0	0	3
13	2	0	0.286548583	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
14	2	0	0.308590782	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
15	2	0	0.33063298	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
16	2	0	0.352675179	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
17	3	0	0.374717378	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.66338e-13	0	0	3
18	3	0	0.396759576	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.66338e-13	0	0	3
19	3	0	0.418801775	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
20	3	0	0.440843974	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
21	3	0	0.462886172	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	9.09495e-13	0	0	3
22	3	0	0.484928371	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	8.52651e-13	0	0	3
23	3	0	0.50697057	293.2	293.2	293.2	293.2	2.27373675e-13	0	0	0	8.52651e-13	0	0	3
24	3	0	0.529012768	293.2	293.2	293.2	293.2	1.70530257e-13	0	0	0	7.95808e-13	0	0	3
25	3	0	0.551054967	293.2	293.2	293.2	293.2	1.13686838e-13	0	0	0	7.95808e-13	0	0	3
26	4	0	0.573097166	293.2	293.2	293.2	293.2	1.13686838e-13	0	0	0	7.38964e-13	0	0	3
