Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0.0274245945	0.00881687947	293.2	293.2	293.2	293.2	0	0	0	0	2.66575e-08	0	0	3
2	0	0.0548571435	0.0176337589	293.2	293.2	293.2	293.2	8.81072992e-12	0	0	0	5.36888e-08	0	0	3
3	0	0.0823484686	0.0264506384	293.2	293.2	293.2	293.2	1.47792889e-11	0	0	0	7.15615e-08	0	0	3
4	0	0.110274093	0.0352675179	293.2	293.2	293.2	293.2	1.90425453e-11	0	0	0	8.49421e-08	0	0	3
5	0	0.141408784	0.0440843974	293.2	293.2	293.2	293.2	2.26236807e-11	0	0	0	9.5959e-08	0	0	3
6	0	0.223678754	0.0529012768	293.2	293.2	293.2	293.2	2.88764568e-11	0	0	0	1.13154e-07	0	0	3
7	0	0.568759793	0.0617181563	293.2	293.2	293.2	293.2	3.85966814e-11	0	0	0	1.59621e-07	0	0	3
8	0	2.85564098	0.0705350358	293.2	293.2	293.2	293.2	5.15001375e-11	0	0	0	1.32031e-07	0	0	3
9	0	19.4837396	0.0793519153	293.2	293.2	293.2	293.2	8.87325768e-11	0	0	0	2.83697e-07	0	0	3
10	0	141.707113	0.0881687947	293.2	293.2	293.2	293.2	2.44938292e-10	0	0	0	1.38381e-07	0	0	3
11	0	1471.00763	0.0969856742	293.2	293.2	293.2	293.2	1.91243998e-09	0	0	0	1.50335e-07	0	0	3
12	1	9538.76099	0.105802554	293.2	293.2	293.2	293.2	1.33359208e-08	0	0	0	1.42235e-07	0	0	3
13	1	33516.0466	0.114619433	293.2	293.2	293.2	293.2	3.39174449e-08	0	0	0	1.39415e-07	0	0	3
14	1	34532.7218	0.123436313	293.2	293.2	293.2	293.2	3.45712579e-08	0	0	0	9.89946e-08	0	0	3
15	1	34604.4601	0.132253192	293.2	293.2	293.2	293.2	3.46217917e-08	0	0	0	1.00298e-07	0	0	3
16	1	34737.703	0.141070072	293.2	293.2	293.2	293.2	3.48496769e-08	0	0	0	3.99904e-08	0	0	3
17	1	34907.4942	0.149886951	293.2	293.2	293.2	293.2	3.51583935e-08	0	0	0	3.88866e-08	0	0	3
18	1	35133.0173	0.158703831	293.2	293.2	293.2	293.2	3.55850602e-08	0	0	0	3.42505e-08	0	0	3
19	1	35467.9253	0.16752071	293.2	293.2	293.2	293.2	3.62256856e-08	0	0	0	3.10022e-08	0	0	3
20	1	35969.1261	0.176337589	293.2	293.2	293.2	293.2	3.71762781e-08	0	0	0	2.8581e-08	0	0	3
21	1	37454.425	0.185154469	293.2	293.2	293.2	293.2	3.98704856e-08	0	0	0	2.6679e-08	0	0	3
22	1	40677.2656	0.193971348	293.2	293.2	293.2	293.2	4.5058357e-08	0	0	0	2.539e-08	0	0	3
23	2	55777.9181	0.202788228	293.2	293.2	293.2	293.2	6.14038527e-08	0	0	0	2.48843e-08	0	0	3
24	2	161128.217	0.211605107	293.2	293.2	293.2	293.2	9.02132342e-08	0	0	0	2.48716e-08	0	0	3
25	2	326715.554	0.220421987	293.2	293.2	293.2	293.2	9.79538868e-08	0	0	0	2.48731e-08	0	0	3
