Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0210507904
2	1	0	0.0421015807
3	1	0	0.0631523711
4	1	0	0.0842031614
5	1	0	0.105253952
6	1	0	0.126304742
7	1	0	0.147355533
8	1	0	0.168406323
9	1	0	0.189457113
10	1	0	0.210507904
11	1	0	0.231558694
12	1	0	0.252609484
13	2	0	0.273660275
14	2	0	0.294711065
15	2	0	0.315761855
16	2	0	0.336812646
17	2	0	0.357863436
18	2	0	0.378914227
19	2	0	0.399965017
20	2	0	0.421015807
21	2	0	0.442066598
22	2	0	0.463117388
23	2	0	0.484168178
24	2	0	0.505218969
25	2	0	0.526269759
26	3	0	0.547320549
27	3	0	0.56837134
28	3	0	0.58942213
29	3	0	0.61047292
30	3	0	0.631523711
31	3	0	0.652574501
32	3	0	0.673625292
33	3	0	0.694676082
34	3	0	0.715726872
35	3	0	0.736777663
36	3	0	0.757828453
37	3	0	0.778879243
38	3	0	0.799930034
39	4	0	0.820980824
40	4	0	0.842031614
41	4	0	0.863082405
42	4	0	0.884133195
43	4	0	0.905183986
44	4	0	0.926234776
45	4	0	0.947285566
46	4	0	0.968336357
47	4	0	0.989387147
48	4	0	1.01043794
49	4	0	1.03148873
50	4	0	1.05253952
51	5	0	1.07359031
