Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0210507904	89.2910365	89.2910365	89.2910365	89.2910365	0	0	0	0	0	0	0	3
2	1	0	0.0421015807	63.2892042	76.2901203	63.2892042	89.2910365	13.0009162	0	0	0	0	0	0	3
3	1	0	0.0631523711	45.8041012	66.128114	45.8041012	89.2910365	23.1629225	0	0	0	0	0	0	3
4	1	0	0.0842031614	36.2868424	58.6677961	36.2868424	89.2910365	30.6232404	0	0	0	0	0	0	3
5	1	0	0.105253952	30.9443565	53.1231082	30.9443565	89.2910365	36.1679283	0	0	0	0	0	0	3
6	1	0	0.126304742	27.9313499	48.9244818	27.9313499	89.2910365	40.3665547	0	0	0	0	0	0	3
7	1	0	0.147355533	25.6479186	45.5992585	25.6479186	89.2910365	43.691778	0	0	0	0	0	0	3
8	1	0	0.168406323	23.723518	42.8647909	23.723518	89.2910365	46.4262456	0	0	0	0	0	0	3
9	1	0	0.189457113	22.0919634	40.556699	22.0919634	89.2910365	48.7343375	0	0	0	0	0	0	3
10	1	0	0.210507904	20.7618781	38.5772169	20.7618781	89.2910365	50.7138196	0	0	0	0	0	0	3
11	1	0	0.231558694	19.7179151	36.8627349	19.7179151	89.2910365	52.4283016	0	0	0	0	0	0	3
12	1	0	0.252609484	18.7862832	35.3563639	18.7862832	89.2910365	53.9346725	0	0	0	0	0	0	3
13	2	0	0.273660275	17.972515	34.0191448	17.972515	89.2910365	55.2718917	0	0	0	0	0	0	3
14	2	0	0.294711065	17.2376933	32.8204697	17.2376933	89.2910365	56.4705668	0	0	0	0	0	0	3
15	2	0	0.315761855	16.6535449	31.7426747	16.6535449	89.2910365	57.5483618	0	0	0	0	0	0	3
16	2	0	0.336812646	16.0929948	30.7645697	16.0929948	89.2910365	58.5264668	0	0	0	0	0	0	3
17	2	0	0.357863436	15.6536842	29.8756941	15.6536842	89.2910365	59.4153424	0	0	0	0	0	0	3
18	2	0	0.378914227	15.1927839	29.0599768	15.1927839	89.2910365	60.2310596	0	0	0	0	0	0	3
19	2	0	0.399965017	14.8141191	28.3101949	14.8141191	89.2910365	60.9808416	0	0	0	0	0	0	3
20	2	0	0.421015807	14.4134044	27.6153553	14.4134044	89.2910365	61.6756811	0	0	0	0	0	0	3
21	2	0	0.442066598	14.1199998	26.9727194	14.1199998	89.2910365	62.3183171	0	0	0	0	0	0	3
22	2	0	0.463117388	13.8083344	26.3743382	13.8083344	89.2910365	62.9166982	0	0	0	0	0	0	3
23	2	0	0.484168178	13.5521769	25.816853	13.5521769	89.2910365	63.4741835	0	0	0	0	0	0	3
24	2	0	0.505218969	13.2724729	25.2941705	13.2724729	89.2910365	63.996866	0	0	0	0	0	0	3
25	2	0	0.526269759	13.0382152	22.1169696	13.0382152	63.2892042	50.250989	0	0	0	0	0	0	3
26	3	0	0.547320549	12.8379628	20.0148345	12.8379628	45.8041012	32.9661385	0	0	0	0	0	0	3
27	3	0	0.56837134	12.680308	18.6346765	12.680308	36.2868424	23.6065344	0	0	0	0	0	0	3
28	3	0	0.58942213	12.5061334	17.6438136	12.5061334	30.9443565	18.4382231	0	0	0	0	0	0	3
29	3	0	0.61047292	12.3686541	16.869826	12.3686541	27.9313499	15.5626958	0	0	0	0	0	0	3
30	3	0	0.631523711	12.2227718	16.2153019	12.2227718	25.6479186	13.4251468	0	0	0	0	0	0	3
31	3	0	0.652574501	12.13297	15.652179	12.13297	23.723518	11.5905481	0	0	0	0	0	0	3
32	3	0	0.673625292	12.0283675	15.1648811	12.0283675	22.0919634	10.0635959	0	0	0	0	0	0	3
33	3	0	0.694676082	11.9492724	14.742269	11.9492724	20.7618781	8.8126057	0	0	0	0	0	0	3
34	3	0	0.715726872	11.8690159	14.371733	11.8690159	19.7179151	7.84889919	0	0	0	0	0	0	3
35	3	0	0.736777663	11.8109817	14.0422775	11.8109817	18.7862832	6.97530146	0	0	0	0	0	0	3
36	3	0	0.757828453	11.7542203	13.7492749	11.7542203	17.972515	6.2182947	0	0	0	0	0	0	3
37	3	0	0.778879243	11.7187349	13.4887007	11.7187349	17.2376933	5.51895847	0	0	0	0	0	0	3
38	3	0	0.799930034	11.6789648	13.257087	11.6789648	16.6535449	4.97458006	0	0	0	0	0	0	3
39	4	0	0.820980824	11.6545611	13.048796	11.6545611	16.0929948	4.4384337	0	0	0	0	0	0	3
40	4	0	0.842031614	11.6265695	12.862695	11.6265695	15.6536842	4.0271147	0	0	0	0	0	0	3
41	4	0	0.863082405	11.6204378	12.694643	11.6204378	15.1927839	3.57234615	0	0	0	0	0	0	3
42	4	0	0.884133195	11.6034893	12.5450891	11.6034893	14.8141191	3.21062975	0	0	0	0	0	0	3
43	4	0	0.905183986	11.6054583	12.4113949	11.6034893	14.4134044	2.8099151	0	0	0	0	0	0	3
44	4	0	0.926234776	11.5992377	12.2941379	11.5992377	14.1199998	2.52076206	0	0	0	0	0	0	3
45	4	0	0.947285566	11.5917737	12.1887952	11.5917737	13.8083344	2.21656072	0	0	0	0	0	0	3
46	4	0	0.968336357	11.5885865	12.0963057	11.5885865	13.5521769	1.96359038	0	0	0	0	0	0	3
47	4	0	0.989387147	11.5809303	12.0141704	11.5809303	13.2724729	1.69154267	0	0	0	0	0	0	3
48	4	0	1.01043794	11.5729946	11.9433588	11.5729946	13.0382152	1.46522055	1.0269332	0	70	0	0	0	3
49	4	0	1.03148873	11.56946	11.8821607	11.56946	12.8379628	1.26850277	1.02703924	0	80.9	0	0	0	3
50	4	0	1.05253952	11.5629043	11.8290332	11.5629043	12.680308	1.11740373	1.02713757	0	91.9	0	0	0	3
51	5	0	1.07359031	11.5628196	11.7824712	11.5628196	12.5061334	0.943313812	1.0269332	0	100	0	0	0	3
