Iteration	CPUTime	PhysTime	Travels
1	0	0.00229694888	0.00842031614
2	0	0.00350588381	0.0168406323
3	0	0.00472568377	0.0252609484
4	0	0.00595568116	0.0336812646
5	0	0.00721439741	0.0421015807
6	1	0.00925187331	0.0505218969
7	1	0.0114727915	0.058942213
8	1	0.0137673786	0.0673625292
9	1	0.0160962207	0.0757828453
10	1	0.0184531048	0.0842031614
11	1	0.0220296794	0.0926234776
12	1	0.0258405416	0.101043794
13	1	0.0296662155	0.10946411
14	1	0.0335061852	0.117884426
15	1	0.0373584548	0.126304742
16	1	0.0431550582	0.134725058
17	1	0.0489739748	0.143145374
18	1	0.0548131767	0.151565691
19	1	0.060668169	0.159986007
20	1	0.0665368958	0.168406323
21	1	0.0753549963	0.176826639
22	2	0.0841948674	0.185246955
23	2	0.0930521835	0.193667271
24	2	0.101928903	0.202087587
25	2	0.110822026	0.210507904
26	2	0.124195022	0.21892822
27	2	0.137609153	0.227348536
28	2	0.151069064	0.235768852
29	2	0.16457264	0.244189168
30	2	0.178123992	0.252609484
31	2	0.196032028	0.2610298
32	2	0.214019275	0.269450117
33	2	0.232083156	0.277870433
34	2	0.250251998	0.286290749
35	2	0.268517615	0.294711065
36	2	0.286876916	0.303131381
37	2	0.305327505	0.311551697
38	2	0.323864977	0.319972013
39	3	0.342484752	0.32839233
40	3	0.361182169	0.336812646
41	3	0.379948091	0.345232962
42	3	0.398781357	0.353653278
43	3	0.417677974	0.362073594
44	3	0.436635841	0.37049391
45	3	0.45565248	0.378914227
46	3	0.474724944	0.387334543
47	3	0.493849087	0.395754859
48	3	0.513023411	0.404175175
49	3	0.532248043	0.412595491
50	3	0.551520564	0.421015807
51	3	0.570836309	0.429436123
52	4	0.59019618	0.43785644
53	4	0.609599195	0.446276756
54	4	0.629045155	0.454697072
55	4	0.648532517	0.463117388
56	4	0.668059176	0.471537704
57	4	0.687644458	0.47995802
58	4	0.70726603	0.488378336
59	4	0.726919327	0.496798653
60	4	0.746630878	0.505218969
61	4	0.766373865	0.513639285
62	4	0.786143136	0.522059601
63	4	0.805968447	0.530479917
64	4	0.825815648	0.538900233
65	4	0.84571617	0.547320549
66	4	0.865638337	0.555740866
67	4	0.885614365	0.564161182
68	4	0.90561532	0.572581498
69	4	0.925668725	0.581001814
70	4	0.94576792	0.58942213
71	5	0.965886244	0.597842446
72	5	0.986056252	0.606262762
73	5	1.00627023	0.614683079
74	5	1.02652205	0.623103395
75	5	1.0467948	0.631523711
76	5	1.06710128	0.639944027
77	5	1.08744023	0.648364343
78	5	1.10778592	0.656784659
79	5	1.1281614	0.665204975
80	5	1.14856709	0.673625292
81	5	1.16900092	0.682045608
82	5	1.18946079	0.690465924
83	5	1.20992571	0.69888624
84	5	1.23041613	0.707306556
85	5	1.25093197	0.715726872
86	5	1.27147424	0.724147188
87	5	1.29204136	0.732567505
88	6	1.31263445	0.740987821
89	6	1.3332533	0.749408137
90	6	1.35389885	0.757828453
91	6	1.37457183	0.766248769
92	6	1.3952735	0.774669085
93	6	1.41600365	0.783089401
94	6	1.43676349	0.791509718
95	6	1.45755467	0.799930034
96	6	1.47837613	0.80835035
97	6	1.49922992	0.816770666
98	6	1.52011658	0.825190982
99	6	1.5410383	0.833611298
100	6	1.56199626	0.842031614
101	6	1.58299211	0.850451931
102	7	1.60399388	0.858872247
103	7	1.6249966	0.867292563
104	7	1.64599833	0.875712879
105	7	1.66699802	0.884133195
106	7	1.68799549	0.892553511
107	7	1.70899098	0.900973827
108	7	1.72998503	0.909394144
109	7	1.75097855	0.91781446
110	7	1.77197293	0.926234776
111	7	1.79296998	0.934655092
112	7	1.81397185	0.943075408
113	7	1.83498099	0.951495724
