Iteration	CPUTime	PhysTime	Travels
1	1	0.00233605447	0.00798724083
2	1	0.0040212357	0.0159744817
3	1	0.00572143262	0.0239617225
4	1	0.00743127207	0.0319489633
5	1	0.00918405604	0.0399362042
6	1	0.0120951263	0.047923445
7	1	0.0153634982	0.0559106858
8	1	0.0187480498	0.0638979267
9	1	0.0221568936	0.0718851675
10	1	0.0255767543	0.0798724083
11	1	0.0307205079	0.0878596492
12	1	0.0358429478	0.09584689
13	1	0.0410064468	0.103834131
14	2	0.0461841657	0.111821372
15	2	0.0513605044	0.119808613
16	2	0.0591551887	0.127795853
17	2	0.0669580815	0.135783094
18	2	0.0747691761	0.143770335
19	2	0.0825896567	0.151757576
20	2	0.0904215795	0.159744817
21	2	0.102189972	0.167732058
22	2	0.113990562	0.175719298
23	2	0.125801087	0.183706539
24	2	0.137614949	0.19169378
25	2	0.1494289	0.199681021
26	2	0.167144735	0.207668262
27	2	0.184861205	0.215655503
28	2	0.202578429	0.223642743
29	2	0.220299931	0.231629984
30	2	0.238025586	0.239617225
31	2	0.261379382	0.247604466
32	3	0.284751235	0.255591707
33	3	0.308141037	0.263578948
34	3	0.331544286	0.271566188
35	3	0.35496548	0.279553429
36	3	0.378407031	0.28754067
37	3	0.401867325	0.295527911
38	3	0.425339543	0.303515152
39	3	0.448824144	0.311502393
40	3	0.472322583	0.319489633
41	3	0.495839073	0.327476874
42	3	0.519362501	0.335464115
43	3	0.542891149	0.343451356
44	3	0.566431503	0.351438597
45	3	0.589983471	0.359425838
46	3	0.613546021	0.367413078
47	3	0.637114559	0.375400319
48	4	0.660694066	0.38338756
49	4	0.684283635	0.391374801
50	4	0.70788016	0.399362042
51	4	0.7314811	0.407349283
52	4	0.755088193	0.415336523
53	4	0.778703815	0.423323764
54	4	0.802326082	0.431311005
55	4	0.825951092	0.439298246
56	4	0.849580732	0.447285487
57	4	0.873222098	0.455272728
58	4	0.896862577	0.463259968
59	4	0.920507652	0.471247209
60	4	0.944162445	0.47923445
61	4	0.967821058	0.487221691
62	4	0.991479633	0.495208932
63	4	1.01514476	0.503196173
64	5	1.03882064	0.511183413
65	5	1.06250175	0.519170654
66	5	1.08618688	0.527157895
67	5	1.10988046	0.535145136
68	5	1.13357741	0.543132377
69	5	1.15727581	0.551119618
70	5	1.1809838	0.559106858
71	5	1.20469741	0.567094099
72	5	1.22841141	0.57508134
73	5	1.25213892	0.583068581
74	5	1.27587343	0.591055822
75	5	1.29961299	0.599043063
76	5	1.32336293	0.607030303
77	5	1.34712229	0.615017544
78	5	1.37088747	0.623004785
79	5	1.3946719	0.630992026
80	5	1.41847321	0.638979267
81	6	1.4422841	0.646966508
82	6	1.4661114	0.654953748
83	6	1.48995328	0.662940989
84	6	1.51381689	0.67092823
85	6	1.53767853	0.678915471
86	6	1.56153202	0.686902712
87	6	1.5853891	0.694889953
88	6	1.60924878	0.702877193
89	6	1.6331019	0.710864434
90	6	1.65695079	0.718851675
91	6	1.68080022	0.726838916
92	6	1.70466166	0.734826157
93	6	1.7285219	0.742813398
94	6	1.75238539	0.750800638
95	6	1.77626305	0.758787879
96	6	1.80015866	0.76677512
97	7	1.82406117	0.774762361
