Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	6.50512246e-06	0.00624454184	6.26868313e+11	6.26868313e+11	6.26868313e+11	6.26868313e+11	0	0	0	0	0	0	0	3
2	1	1.06037066e-05	0.0124890837	2.34364287e+11	4.75156197e+11	2.34364287e+11	6.26868313e+11	1.51712116e+11	0	0	0	0	0	0	3
3	1	1.47629998e-05	0.0187336255	2.02515807e+11	3.98343127e+11	2.02515807e+11	6.26868313e+11	2.28525185e+11	0	0	0	0	0	0	3
4	1	1.89739938e-05	0.0249781673	1.85717908e+11	3.51154141e+11	1.85717908e+11	6.26868313e+11	2.75714171e+11	0	0	0	0	0	0	3
5	1	2.33188437e-05	0.0312227092	1.84375413e+11	3.20079335e+11	1.84375413e+11	6.26868313e+11	3.06788977e+11	0	0	0	0	0	0	3
6	1	3.0512884e-05	0.037467251	1.75181418e+11	2.8591667e+11	1.75181418e+11	6.26868313e+11	3.40951643e+11	0	0	0	0	0	0	3
7	1	3.85844872e-05	0.0437117929	1.72988554e+11	2.62292903e+11	1.72988554e+11	6.26868313e+11	3.6457541e+11	0	0	0	0	0	0	3
8	2	4.70321419e-05	0.0499563347	1.69274583e+11	2.45585463e+11	1.69274583e+11	6.26868313e+11	3.81282849e+11	0	0	0	0	0	0	3
9	2	5.56536416e-05	0.0562008765	1.68659437e+11	2.33668584e+11	1.68659437e+11	6.26868313e+11	3.93199728e+11	0	0	0	0	0	0	3
10	2	6.44025681e-05	0.0624454184	1.68221271e+11	2.24777732e+11	1.68221271e+11	6.26868313e+11	4.02090581e+11	0	0	0	0	0	0	3
11	2	7.76871264e-05	0.0686899602	1.70554742e+11	2.15505559e+11	1.68221271e+11	6.26868313e+11	4.11362754e+11	0	0	0	0	0	0	3
12	2	9.1152361e-05	0.074934502	1.71194264e+11	2.08959793e+11	1.68221271e+11	6.26868313e+11	4.17908519e+11	0	0	0	0	0	0	3
