Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	6.50512246e-06	0.00624454184	100670.016	100670.016	100670.016	100670.016	0	0	0	0	1.41033e+06	0	0	3
2	1	1.06037066e-05	0.0124890837	101244.594	100892.104	100670.016	101244.594	222.088105	0	0	0	1.11674e+06	0	0	3
3	1	1.47629998e-05	0.0187336255	101241.328	100990.494	100670.016	101244.594	320.477551	0	0	0	1.06605e+06	0	0	3
4	1	1.89739938e-05	0.0249781673	101232.657	101044.238	100670.016	101244.594	374.222034	0	0	0	1.01253e+06	0	0	3
5	1	2.33188437e-05	0.0312227092	101268.741	101086.068	100670.016	101268.741	416.052275	0	0	0	1.00957e+06	0	0	3
6	1	3.0512884e-05	0.037467251	101271.537	101129.796	100670.016	101271.537	459.780273	0	0	0	999490	0	0	3
7	1	3.85844872e-05	0.0437117929	101267.947	101158.697	100670.016	101271.537	488.6804	0	0	0	1.00206e+06	0	0	3
8	2	4.70321419e-05	0.0499563347	101262.356	101177.315	100670.016	101271.537	507.299103	0	0	0	996683	0	0	3
9	2	5.56536416e-05	0.0562008765	101260.697	101190.232	100670.016	101271.537	520.216043	0	0	0	997874	0	0	3
10	2	6.44025681e-05	0.0624454184	101256.06	101199.175	100670.016	101271.537	529.158578	0	0	0	997931	0	0	3
11	2	7.76871264e-05	0.0686899602	101253.711	101208.5	100670.016	101271.537	538.484325	0	0	0	1.00003e+06	0	0	3
12	2	9.1152361e-05	0.074934502	101256.69	101215.619	100670.016	101271.537	545.603034	0	0	0	1.00067e+06	0	0	3
13	2	0.000104752316	0.0811790439	101254.642	101220.686	100670.016	101271.537	550.669407	0	0	0	1.00092e+06	0	0	3
14	2	0.000118448182	0.0874235857	101254.886	101224.64	100670.016	101271.537	554.623886	0	0	0	1.00196e+06	0	0	3
15	2	0.000132210507	0.0936681275	101254.612	101227.76	100670.016	101271.537	557.743808	0	0	0	1.00276e+06	0	0	3
16	2	0.000152921098	0.0999126694	101251.825	101231.019	100670.016	101271.537	561.003011	0	0	0	1.00226e+06	0	0	3
17	2	0.000173684181	0.106157211	101251.437	101233.46	100670.016	101271.537	563.443919	0	0	0	1.00191e+06	0	0	3
18	2	0.000194478849	0.112401753	101249.13	101235.136	100670.016	101271.537	565.119471	0	0	0	1.00155e+06	0	0	3
19	3	0.00021529578	0.118646295	101247.79	101236.359	100670.016	101271.537	566.343074	0	0	0	1.00082e+06	0	0	3
20	3	0.000236131681	0.124890837	101248.16	101237.4	100670.016	101271.537	567.384376	0	0	0	999689	0	0	3
21	3	0.000267412527	0.131135379	101248.035	101238.644	100670.016	101271.537	568.628364	0	0	0	998593	0	0	3
22	3	0.000298726623	0.13737992	101244.112	101239.218	100670.016	101271.537	569.201458	0	0	0	996542	0	0	3
23	3	0.000330066864	0.143624462	101242.317	101239.512	100670.016	101271.537	569.495789	0	0	0	994849	0	0	3
24	3	0.000361420165	0.149869004	101242.661	101239.785	100670.016	101271.537	569.769006	0	0	0	993524	0	0	3
25	3	0.000392772482	0.156113546	101237.699	101239.619	100670.016	101271.537	569.769006	0	0	0	992844	0	0	3
26	3	0.000439779396	0.162358088	101239.186	101239.572	100670.016	101271.537	569.769006	0	0	0	992091	0	0	3
27	3	0.00048673166	0.16860263	101238.026	101239.423	100670.016	101271.537	569.769006	0	0	0	991685	0	0	3
28	3	0.000533612304	0.174847171	101236.227	101239.142	100670.016	101271.537	569.769006	0	0	0	991632	0	0	3
29	3	0.000580418667	0.181091713	101232.448	101238.603	100670.016	101271.537	569.769006	0	0	0	991905	0	0	3
30	4	0.000627151285	0.187336255	101230.504	101237.999	100670.016	101271.537	569.769006	0	0	0	992283	0	0	3
31	4	0.000688598872	0.193580797	101230.318	101237.314	100670.016	101271.537	569.769006	0	0	0	992394	0	0	3
32	4	0.000749944544	0.199825339	101232.098	101236.887	100670.016	101271.537	569.769006	0	0	0	992585	0	0	3
33	4	0.000811197108	0.206069881	101224.65	101235.963	100670.016	101271.537	569.769006	0	0	0	992804	0	0	3
34	4	0.000872372561	0.212314422	101226.388	101235.292	100670.016	101271.537	569.769006	0	0	0	992892	0	0	3
35	4	0.000933488199	0.218558964	101223.242	101234.503	100670.016	101271.537	569.769006	0	0	0	992908	0	0	3
36	4	0.000994558634	0.224803506	101224.012	101233.858	100670.016	101271.537	569.769006	0	0	0	992653	0	0	3
37	4	0.00105559606	0.231048048	101217.424	101232.908	100670.016	101271.537	569.769006	0	0	0	992368	0	0	3
38	4	0.0011166096	0.23729259	101220.841	101232.249	100670.016	101271.537	569.769006	0	0	0	991948	0	0	3
39	4	0.00117760559	0.243537132	101216.239	101231.42	100670.016	101271.537	569.769006	0	0	0	991360	0	0	3
40	5	0.00123859033	0.249781673	101220.019	101230.858	100670.016	101271.537	569.769006	0	0	0	990505	0	0	3
41	5	0.00129957027	0.256026215	101211.904	101229.969	100670.016	101271.537	569.769006	0	0	0	989552	0	0	3
42	5	0.00136055191	0.262270757	101214.995	101229.298	100670.016	101271.537	569.769006	0	0	0	988548	0	0	3
43	5	0.00142154009	0.268515299	101216.546	101228.751	100670.016	101271.537	569.769006	0	0	0	987573	0	0	3
44	5	0.00148253747	0.274759841	101208.697	101227.926	100670.016	101271.537	569.769006	0	0	0	986500	0	0	3
45	5	0.00154354596	0.281004383	101212.322	101227.309	100670.016	101271.537	569.769006	0	0	0	985379	0	0	3
46	5	0.00160456758	0.287248924	101210.903	101226.685	100670.016	101271.537	569.769006	0	0	0	984256	0	0	3
47	5	0.00166560401	0.293493466	101207.507	101225.982	100670.016	101271.537	569.769006	0	0	0	983207	0	0	3
48	5	0.00172665603	0.299738008	101205.383	101225.254	100670.016	101271.537	569.769006	0	0	0	982180	0	0	3
49	5	0.00178772435	0.30598255	101208.598	101224.685	100670.016	101271.537	569.769006	0	0	0	981054	0	0	3
50	5	0.00184881149	0.312227092	101200.907	101223.899	100670.016	101271.537	569.769006	0	0	0	979900	0	0	3
51	6	0.00190991931	0.318471634	101199.467	101223.117	100670.016	101271.537	569.769006	0	0	0	978809	0	0	3
52	6	0.00197104866	0.324716175	101201.656	101222.452	100670.016	101271.537	569.769006	0	0	0	977799	0	0	3
53	6	0.00203220002	0.330960717	101203.727	101221.888	100670.016	101271.537	569.769006	0	0	0	976778	0	0	3
54	6	0.00209337324	0.337205259	101199.479	101221.234	100670.016	101271.537	569.769006	0	0	0	975731	0	0	3
55	6	0.00215456887	0.343449801	101195.318	101220.497	100670.016	101271.537	569.769006	0	0	0	974781	0	0	3
56	6	0.00221578673	0.349694343	101196.908	101219.846	100670.016	101271.537	569.769006	0	0	0	973855	0	0	3
57	6	0.00227702662	0.355938885	101197.879	101219.255	100670.016	101271.537	569.769006	0	0	0	972883	0	0	3
58	6	0.00233828847	0.362183426	101190.047	101218.49	100670.016	101271.537	569.769006	0	0	0	971934	0	0	3
59	6	0.0023995722	0.368427968	101191.309	101217.796	100670.016	101271.537	569.769006	0	0	0	971026	0	0	3
60	6	0.00246087776	0.37467251	101193.7	101217.195	100670.016	101271.537	569.769006	0	0	0	970116	0	0	3
61	7	0.002522205	0.380917052	101185.496	101216.424	100670.016	101271.537	569.769006	0	0	0	969254	0	0	3
62	7	0.00258355353	0.387161594	101190.091	101215.799	100670.016	101271.537	569.769006	0	0	0	968444	0	0	3
63	7	0.00264492266	0.393406136	101188.647	101215.169	100670.016	101271.537	569.769006	0	0	0	967600	0	0	3
64	7	0.00270631222	0.399650678	101185.741	101214.502	100670.016	101271.537	569.769006	0	0	0	966791	0	0	3
65	7	0.00276772179	0.405895219	101185.886	101213.867	100670.016	101271.537	569.769006	0	0	0	966058	0	0	3
66	7	0.00282915067	0.412139761	101186.505	101213.273	100670.016	101271.537	569.769006	0	0	0	965360	0	0	3
67	7	0.00289059824	0.418384303	101182.841	101212.626	100670.016	101271.537	569.769006	0	0	0	964656	0	0	3
68	7	0.00295206397	0.424628845	101179.904	101211.944	100670.016	101271.537	569.769006	0	0	0	963975	0	0	3
69	7	0.00301354763	0.430873387	101179.846	101211.29	100670.016	101271.537	569.769006	0	0	0	977618	0	0	3
70	7	0.00307510149	0.437117929	101179.386	101210.651	100670.016	101271.537	569.769006	0	0	0	978153	0	0	3
71	8	0.00313690541	0.44336247	101179.554	101210.038	100670.016	101271.537	569.769006	0	0	0	980122	0	0	3
72	8	0.00319879666	0.449607012	101180.955	101209.476	100670.016	101271.537	569.769006	0	0	0	971731	0	0	3
73	8	0.00326076524	0.455851554	101169.68	101208.719	100670.016	101271.537	569.769006	0	0	0	973967	0	0	3
74	8	0.00332267351	0.462096096	101168.064	101207.962	100670.016	101271.537	569.769006	0	0	0	965347	0	0	3
75	8	0.00338459537	0.468340638	101171.982	101207.304	100670.016	101271.537	569.769006	0	0	0	969973	0	0	3
76	8	0.00344645545	0.47458518	101175.845	101206.739	100670.016	101271.537	569.769006	0	0	0	963013	0	0	3
77	8	0.00350835914	0.480829721	101172.838	101206.141	100670.016	101271.537	569.769006	0	0	0	968610	0	0	3
78	8	0.00357023192	0.487074263	101174.1	101205.585	100670.016	101271.537	569.769006	0	0	0	962295	0	0	3
79	8	0.00363216609	0.493318805	101169.133	101204.964	100670.016	101271.537	569.769006	0	0	0	968044	0	0	3
80	8	0.00369407678	0.499563347	101166.808	101204.324	100670.016	101271.537	569.769006	0	0	0	961712	0	0	3
81	9	0.00375604815	0.505807889	101167.22	101203.712	100670.016	101271.537	569.769006	0	0	0	967506	0	0	3
82	9	0.00381799341	0.512052431	101154.661	101203.826	101154.661	101271.537	116.875806	0	0	0	961187	0	0	3
83	9	0.00387999588	0.518296972	101159.84	101203.078	101154.661	101271.537	116.875806	0	0	0	966944	0	0	3
84	9	0.00394196818	0.524541514	101166.076	101202.453	101154.661	101271.537	116.875806	0	0	0	960521	0	0	3
85	9	0.00400399661	0.530786056	101165.989	101201.854	101154.661	101271.537	116.875806	0	0	0	966378	0	0	3
86	9	0.00406599527	0.537030598	101163.593	101201.195	101154.661	101271.537	109.988733	0	0	0	959992	0	0	3
87	9	0.00412804942	0.54327514	101159.937	101200.447	101154.661	101267.947	81.0886065	0	0	0	965733	0	0	3
88	9	0.00419007322	0.549519682	101163.384	101199.762	101154.661	101262.356	62.4699035	0	0	0	959328	0	0	3
89	9	0.00425215387	0.555764223	101150.811	101198.914	101150.811	101260.697	49.5529635	0	0	0	965135	0	0	3
90	9	0.00431420377	0.562008765	101151.47	101198.097	101150.811	101256.69	41.6878743	0	0	0	958747	0	0	3
91	9	0.00437630984	0.568253307	101151.601	101197.31	101150.811	101256.69	42.4751889	0	0	0	964495	0	0	3
92	10	0.00443838457	0.574497849	101151.522	101196.486	101150.811	101256.69	43.298801	0	0	0	958003	0	0	3
93	10	0.00450051583	0.580742391	101152.43	101195.682	101150.811	101254.886	44.1034434	0	0	0	963775	0	0	3
94	10	0.00456261675	0.586986933	101147.448	101194.83	101147.448	101254.886	44.9552401	0	0	0	957329	0	0	3
95	10	0.00462477484	0.593231474	101149.484	101194.022	101147.448	101254.612	45.7632392	0	0	0	963060	0	0	3
96	10	0.00468690215	0.599476016	101146.188	101193.186	101146.188	101251.825	46.5987862	0	0	0	956618	0	0	3
97	10	0.00474908646	0.605720558	101151.291	101192.355	101146.188	101251.437	47.4298456	0	0	0	962354	0	0	3
98	10	0.00481123933	0.6119651	101145.213	101191.459	101145.213	101249.13	48.3261643	0	0	0	955889	0	0	3
99	10	0.00487344951	0.618209642	101141.334	101190.536	101141.334	101248.16	49.2489232	0	0	0	961589	0	0	3
100	10	0.00493562821	0.624454184	101140.786	101189.628	101140.786	101248.16	50.15675	0	0	0	955155	0	0	3
101	11	0.00499786447	0.630698725	101140.393	101188.729	101140.393	101248.035	51.0563794	0	0	0	960889	0	0	3
102	11	0.00506006881	0.636943267	101138.879	101187.695	101138.879	101244.112	52.0904694	0	0	0	954456	0	0	3
103	11	0.00512233063	0.643187809	101139.064	101186.701	101138.879	101242.661	53.08443	0	0	0	960175	0	0	3
104	11	0.00518455998	0.649432351	101130.935	101185.627	101130.935	101242.661	54.1583482	0	0	0	953818	0	0	3
105	11	0.00524684646	0.655676893	101129.936	101184.551	101129.936	101239.186	55.067909	0	0	0	959516	0	0	3
106	11	0.00530909936	0.661921435	101131.024	101183.534	101129.936	101239.186	56.0383594	0	0	0	953155	0	0	3
107	11	0.00537140935	0.668165976	101132.432	101182.358	101129.936	101238.026	57.0653425	0	0	0	958900	0	0	3
108	11	0.00543368529	0.674410518	101129.569	101181.165	101129.569	101236.227	57.9774063	0	0	0	952585	0	0	3
109	11	0.00549601758	0.68065506	101129.441	101179.995	101129.441	101232.448	58.607454	0	0	0	958336	0	0	3
110	11	0.00555831439	0.686899602	101129.795	101178.874	101129.441	101232.098	59.1254106	0	0	0	951999	0	0	3
111	11	0.00562066729	0.693144144	101127.958	101177.755	101127.958	101232.098	59.5589025	0	0	0	957831	0	0	3
112	12	0.00568298433	0.699388686	101125.968	101176.462	101125.968	101232.098	60.4251302	0	0	0	951496	0	0	3
113	12	0.00574535689	0.705633227	101124.333	101175.128	101124.333	101226.388	60.8352405	0	0	0	957324	0	0	3
114	12	0.00580769266	0.711877769	101124.176	101173.885	101124.176	101226.388	61.4065712	0	0	0	950982	0	0	3
115	12	0.00587008375	0.718122311	101122.141	101172.596	101122.141	101224.012	61.9063059	0	0	0	956818	0	0	3
116	12	0.00593243802	0.724366853	101121.783	101171.343	101121.783	101224.012	62.5151144	0	0	0	950428	0	0	3
117	12	0.00599484798	0.730611395	101121.067	101170.073	101121.067	101220.841	62.8355861	0	0	0	956326	0	0	3
118	12	0.00605722051	0.736855937	101122.997	101168.908	101121.067	101220.841	63.3411277	0	0	0	949876	0	0	3
119	12	0.00611964841	0.743100479	101120.246	101167.667	101120.246	101220.019	63.752435	0	0	0	955761	0	0	3
120	12	0.00618203929	0.74934502	101118.962	101166.468	101118.962	101220.019	64.3903163	0	0	0	949293	0	0	3
121	12	0.00624448582	0.755589562	101117.583	101165.206	101117.583	101216.546	64.7631515	0	0	0	955260	0	0	3
122	12	0.0063068947	0.761834104	101118.537	101164.055	101117.583	101216.546	65.2423609	0	0	0	948728	0	0	3
123	13	0.00636935873	0.768078646	101114.284	101162.814	101114.284	101216.546	65.9361559	0	0	0	954692	0	0	3
124	13	0.00643178579	0.774323188	101115.129	101161.566	101114.284	101212.322	66.3593006	0	0	0	948253	0	0	3
125	13	0.00649426862	0.78056773	101114.664	101160.408	101114.284	101212.322	66.900939	0	0	0	954268	0	0	3
126	13	0.00655671273	0.786812271	101117.07	101159.236	101114.284	101210.903	67.448617	0	0	0	947798	0	0	3
127	13	0.00661921185	0.793056813	101116.592	101158.076	101114.284	101208.598	67.9060556	0	0	0	953864	0	0	3
128	13	0.00668167183	0.799301355	101117.073	101156.964	101114.284	101208.598	68.2897452	0	0	0	947427	0	0	3
129	13	0.00674418627	0.805545897	101114.457	101155.845	101114.284	101208.598	68.8395436	0	0	0	953416	0	0	3
130	13	0.00680666026	0.811790439	101113.504	101154.676	101113.504	101203.727	69.2228369	0	0	0	946923	0	0	3
