Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0199681021
2	1	0	0.0399362042
3	1	0	0.0599043063
4	1	0	0.0798724083
5	1	0	0.0998405104
6	1	0	0.119808613
7	1	0	0.139776715
8	1	0	0.159744817
9	1	0	0.179712919
10	1	0	0.199681021
11	1	0	0.219649123
12	1	0	0.239617225
13	2	0	0.259585327
14	2	0	0.279553429
15	2	0	0.299521531
16	2	0	0.319489633
17	2	0	0.339457735
18	2	0	0.359425838
19	2	0	0.37939394
20	2	0	0.399362042
21	2	0	0.419330144
22	2	0	0.439298246
23	2	0	0.459266348
24	2	0	0.47923445
25	2	0	0.499202552
26	2	0	0.519170654
27	3	0	0.539138756
28	3	0	0.559106858
29	3	0	0.57907496
30	3	0	0.599043063
31	3	0	0.619011165
32	3	0	0.638979267
33	3	0	0.658947369
34	3	0	0.678915471
35	3	0	0.698883573
36	3	0	0.718851675
37	3	0	0.738819777
38	3	0	0.758787879
39	4	0	0.778755981
40	4	0	0.798724083
41	4	0	0.818692185
42	4	0	0.838660288
43	4	0	0.85862839
44	4	0	0.878596492
45	4	0	0.898564594
46	4	0	0.918532696
47	4	0	0.938500798
48	4	0	0.9584689
49	4	0	0.978437002
50	4	0	0.998405104
51	5	0	1.01837321
52	5	0	1.03834131
53	5	0	1.05830941
54	5	0	1.07827751
