Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0199681021	143.051764	143.051764	143.051764	143.051764	0	0	0	0	0	0	0	3
2	1	0	0.0399362042	79.7802856	111.416025	79.7802856	143.051764	31.6357392	0	0	0	0	0	0	3
3	1	0	0.0599043063	55.7411046	92.8577181	55.7411046	143.051764	50.194046	0	0	0	0	0	0	3
4	1	0	0.0798724083	45.5484605	81.0304037	45.5484605	143.051764	62.0213604	0	0	0	0	0	0	3
5	1	0	0.0998405104	40.2963458	72.8835921	40.2963458	143.051764	70.1681719	0	0	0	0	0	0	3
6	1	0	0.119808613	35.9873226	66.7342139	35.9873226	143.051764	76.3175502	0	0	0	0	0	0	3
7	1	0	0.139776715	32.4385217	61.8348293	32.4385217	143.051764	81.2169348	0	0	0	0	0	0	3
8	1	0	0.159744817	29.6563724	57.8125222	29.6563724	143.051764	85.2392419	0	0	0	0	0	0	3
9	1	0	0.179712919	27.5066503	54.4452031	27.5066503	143.051764	88.606561	0	0	0	0	0	0	3
10	1	0	0.199681021	25.8476817	51.5854509	25.8476817	143.051764	91.4663131	0	0	0	0	0	0	3
11	1	0	0.219649123	24.2560553	49.1009604	24.2560553	143.051764	93.9508036	0	0	0	0	0	0	3
12	1	0	0.239617225	22.9348893	46.9204545	22.9348893	143.051764	96.1313096	0	0	0	0	0	0	3
13	2	0	0.259585327	21.8117119	44.9890128	21.8117119	143.051764	98.0627513	0	0	0	0	0	0	3
14	2	0	0.279553429	20.9190156	43.2697272	20.9190156	143.051764	99.7820368	0	0	0	0	0	0	3
15	2	0	0.299521531	20.1530384	41.7286147	20.1530384	143.051764	101.323149	0	0	0	0	0	0	3
16	2	0	0.319489633	19.3832202	40.3320275	19.3832202	143.051764	102.719737	0	0	0	0	0	0	3
17	2	0	0.339457735	18.6464246	39.0564038	18.6464246	143.051764	103.99536	0	0	0	0	0	0	3
18	2	0	0.359425838	18.0333125	37.8884543	18.0333125	143.051764	105.16331	0	0	0	0	0	0	3
19	2	0	0.37939394	17.4878946	36.8147406	17.4878946	143.051764	106.237023	0	0	0	0	0	0	3
20	2	0	0.399362042	17.0395655	35.8259819	17.0395655	143.051764	107.225782	0	0	0	0	0	0	3
21	2	0	0.419330144	16.5820067	34.9096021	16.5820067	143.051764	108.142162	0	0	0	0	0	0	3
22	2	0	0.439298246	16.1501948	34.0569018	16.1501948	143.051764	108.994862	0	0	0	0	0	0	3
23	2	0	0.459266348	15.7543318	33.2611378	15.7543318	143.051764	109.790626	0	0	0	0	0	0	3
24	2	0	0.47923445	15.4244915	32.5179442	15.4244915	143.051764	110.53382	0	0	0	0	0	0	3
25	2	0	0.499202552	15.1239705	31.8221853	15.1239705	143.051764	111.229579	0	0	0	0	0	0	3
26	2	0	0.519170654	14.8360317	31.1688717	14.8360317	143.051764	111.882892	0	0	0	0	0	0	3
27	3	0	0.539138756	14.5548381	26.2266822	14.5548381	79.7802856	65.2254475	0	0	0	0	0	0	3
28	3	0	0.559106858	14.3347045	23.7095445	14.3347045	55.7411046	41.4064001	0	0	0	0	0	0	3
29	3	0	0.57907496	14.1287703	22.1090701	14.1287703	45.5484605	31.4196902	0	0	0	0	0	0	3
30	3	0	0.599043063	13.9617567	20.8941969	13.9617567	40.2963458	26.3345891	0	0	0	0	0	0	3
31	3	0	0.619011165	13.7906769	19.8747481	13.7906769	35.9873226	22.1966457	0	0	0	0	0	0	3
32	3	0	0.638979267	13.6464443	19.0154835	13.6464443	32.4385217	18.7920774	0	0	0	0	0	0	3
33	3	0	0.658947369	13.5264351	18.2880956	13.5264351	29.6563724	16.1299372	0	0	0	0	0	0	3
34	3	0	0.678915471	13.4303324	17.6640171	13.4303324	27.5066503	14.0763179	0	0	0	0	0	0	3
35	3	0	0.698883573	13.3505365	17.1195512	13.3505365	25.8476817	12.4971452	0	0	0	0	0	0	3
36	3	0	0.718851675	13.2776839	16.6360898	13.2776839	24.2560553	10.9783714	0	0	0	0	0	0	3
37	3	0	0.738819777	13.2193816	16.2116023	13.2193816	22.9348893	9.71550773	0	0	0	0	0	0	3
38	3	0	0.758787879	13.1797421	15.8364043	13.1797421	21.8117119	8.63196988	0	0	0	0	0	0	3
39	4	0	0.778755981	13.1474645	15.503164	13.1474645	20.9190156	7.77155111	0	0	0	0	0	0	3
40	4	0	0.798724083	13.1268022	15.2034635	13.1268022	20.1530384	7.02623623	0	0	0	0	0	0	3
41	4	0	0.818692185	13.1092566	14.9325488	13.1092566	19.3832202	6.27396358	0	0	0	0	0	0	3
42	4	0	0.838660288	13.0952013	14.690702	13.0952013	18.6464246	5.55122328	0	0	0	0	0	0	3
43	4	0	0.85862839	13.0878457	14.4769105	13.0878457	18.0333125	4.94546677	0	0	0	0	0	0	3
44	4	0	0.878596492	13.0793799	14.2863746	13.0793799	17.4878946	4.40851463	0	0	0	0	0	0	3
45	4	0	0.898564594	13.0727354	14.1165608	13.0727354	17.0395655	3.96683016	0	0	0	0	0	0	3
46	4	0	0.918532696	13.0665008	13.9637506	13.0665008	16.5820067	3.51550596	0	0	0	0	0	0	3
47	4	0	0.938500798	13.0594699	13.8282684	13.0594699	16.1501948	3.09072486	0	0	0	0	0	0	3
48	4	0	0.9584689	13.0534345	13.7091623	13.0534345	15.7543318	2.70089736	0	0	0	0	0	0	3
49	4	0	0.978437002	13.0469657	13.6050328	13.0469657	15.4244915	2.37752577	0	0	0	0	0	0	3
50	4	0	0.998405104	13.0417798	13.51339	13.0417798	15.1239705	2.08219067	0	0	0	0	0	0	3
51	5	0	1.01837321	13.0362348	13.4330925	13.0362348	14.8360317	1.79979686	1.28114609	0	71.1	0	0	0	3
52	5	0	1.03834131	13.0313394	13.3636813	13.0313394	14.5548381	1.52349869	1.28129296	0	84.1	0	0	0	3
53	5	0	1.05830941	13.0277865	13.3049485	13.0277865	14.3347045	1.30691808	1.28134625	0	98	0	0	0	3
54	5	0	1.07827751	13.0242581	13.2545467	13.0242581	14.1287703	1.10451212	1.28114609	0	100	0	0	0	3
